1485998626.38 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.0107421875} 
1485998626.43 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998626.48 {'AI5': 2.3291015625, 'AI4': 4.7705078125, 'AI0': -1.005859375, 'AI2': -0.99609375} 
1485998626.53 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.9912109375, 'AI2': -0.9814453125} 
1485998626.57 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998626.62 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.044921875, 'AI2': -1.03515625} 
1485998626.67 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.0400390625} 
1485998626.72 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9814453125} 
1485998626.77 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.986328125} 
1485998626.81 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -1.025390625, 'AI2': -1.015625} 
1485998626.86 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998626.91 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998626.96 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998627.01 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -1.005859375} 
1485998627.05 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998627.1 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -0.99609375} 
1485998627.15 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.986328125} 
1485998627.2 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0205078125, 'AI2': -1.0205078125} 
1485998627.25 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.99609375} 
1485998627.29 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.025390625} 
1485998627.34 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.0009765625} 
1485998627.39 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -1.0107421875} 
1485998627.44 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.005859375} 
1485998627.49 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998627.53 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0107421875} 
1485998627.58 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998627.63 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.0205078125} 
1485998627.68 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.986328125} 
1485998627.73 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998627.77 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.025390625} 
