1485999600.587402 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3076171875} 
1485999600.636182 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.302734375, 'AI2': 0.302734375} 
1485999600.683519 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3125} 
1485999600.731401 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2490234375, 'AI2': 0.25390625} 
1485999600.779447 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2734375} 
1485999600.827444 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3173828125} 
1485999600.875715 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.302734375, 'AI2': 0.3076171875} 
1485999600.925047 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.283203125, 'AI2': 0.283203125} 
1485999600.971408 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.322265625, 'AI2': 0.3173828125} 
1485999601.019913 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.322265625} 
1485999601.067356 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3173828125} 
1485999601.115375 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3125} 
1485999601.163308 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3173828125, 'AI2': 0.2978515625} 
1485999601.211559 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.3125} 
1485999601.259569 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3076171875} 
1485999601.307389 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.2783203125, 'AI2': 0.2880859375} 
1485999601.355385 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.244140625, 'AI2': 0.244140625} 
1485999601.403325 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.3125} 
1485999601.451322 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.3173828125} 
1485999601.499380 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.3076171875} 
1485999601.547404 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.3271484375} 
1485999601.595285 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2978515625} 
1485999601.643603 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3076171875, 'AI2': 0.3076171875} 
1485999601.691397 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.3076171875} 
1485999601.739580 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.322265625} 
1485999601.787554 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.2978515625, 'AI2': 0.2880859375} 
1485999601.835301 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.29296875} 
1485999601.883409 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.2978515625} 
1485999601.931644 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.29296875} 
1485999601.979287 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.2783203125} 
1485999602.027388 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.302734375, 'AI2': 0.2978515625} 
1485999602.075744 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.2978515625, 'AI2': 0.2978515625} 
1485999602.123735 {'AI5': 2.3291015625, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999602.171350 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.2880859375, 'AI2': 0.29296875} 
1485999602.220082 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999602.267494 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2734375} 
1485999602.315415 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.2685546875} 
1485999602.363552 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.283203125} 
1485999602.411444 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2978515625, 'AI2': 0.2978515625} 
1485999602.459286 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3125} 
1485999602.507281 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.29296875, 'AI2': 0.3076171875} 
1485999602.555574 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.2978515625} 
