1490306675.940000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.004000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.068000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.133000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.197000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.261000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.325000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.389000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.453000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.517000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.581000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.4208984375, 'AI2': 1.4306640625} 
1490306676.645000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.709000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.773000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.42578125} 
1490306676.837000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.901000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
1490306676.965000 {'AI5': 0.009765625, 'AI4': 0.0146484375, 'AI0': 1.42578125, 'AI2': 1.4306640625} 
