1485999166.261072 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.5126953125} 
1485999166.309306 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5322265625} 
1485999166.357036 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5615234375} 
1485999166.407244 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.517578125} 
1485999166.453195 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999166.501309 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999166.549080 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5419921875} 
1485999166.597328 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999166.645166 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999166.693162 {'AI5': 2.3193359375, 'AI4': 4.7607421875, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999166.741213 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.556640625, 'AI2': -0.556640625} 
1485999166.789184 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999166.837469 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999166.885049 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5224609375} 
1485999166.933253 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999166.981276 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999167.029634 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.546875} 
1485999167.077157 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5126953125, 'AI2': -0.537109375} 
1485999167.125149 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.5322265625} 
1485999167.173283 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5322265625} 
1485999167.221057 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5517578125} 
1485999167.269272 {'AI5': 2.3291015625, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.556640625} 
1485999167.317273 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5810546875} 
1485999167.365380 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999167.413100 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.5419921875} 
1485999167.461098 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999167.509198 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999167.557349 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5322265625, 'AI2': -0.546875} 
1485999167.605113 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999167.653331 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999167.701063 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999167.749392 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.60546875, 'AI2': -0.5908203125} 
1485999167.797116 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5810546875, 'AI2': -0.5908203125} 
1485999167.845216 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5126953125} 
1485999167.892941 {'AI5': 2.3291015625, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.56640625} 
1485999167.941257 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999167.989052 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5859375, 'AI2': -0.576171875} 
1485999168.037332 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999168.085103 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.546875} 
1485999168.133629 {'AI5': 2.32421875, 'AI4': 4.7412109375, 'AI0': -0.5615234375, 'AI2': -0.5615234375} 
1485999168.180994 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999168.229249 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.5615234375} 
1485999168.277012 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.5615234375} 
1485999168.325622 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.56640625} 
1485999168.372992 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.556640625, 'AI2': -0.556640625} 
1485999168.421353 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999168.469409 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.576171875, 'AI2': -0.5615234375} 
1485999168.517729 {'AI5': 2.314453125, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.546875} 
1485999168.565252 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.5224609375, 'AI2': -0.5322265625} 
1485999168.613094 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.546875} 
1485999168.661651 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5322265625, 'AI2': -0.537109375} 
1485999168.709114 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.546875} 
1485999168.757203 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999168.805319 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.52734375} 
1485999168.853442 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999168.901071 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.546875} 
1485999168.949513 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999168.997168 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.5419921875} 
1485999169.045104 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.556640625} 
1485999169.093025 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5224609375} 
1485999169.141032 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.5419921875} 
